fips,slaves,urbanicity,prison_rate,blackpop,prison_type,unemp,mhi,pm,rentburd,gini,singpar
01103,32.695191883546535,small/mid,893.2,13.501460665442982,Has State,5.9,47234,10.880285814195927,27.1,44.5,8.673737727910238
01105,65.66873467032174,rural,538.78,68.48979591836735,No Prison,10,26218,10.002606359144893,33.1,47,15.806960697939473
01107,54.628965764473925,small/mid,617.96,41.33042529989095,No Prison,6.8,33160,9.813786274610608,33,46.5,11.71554627287998
01109,35.95252711274811,rural,1035.52,38.682071031236624,No Prison,6.6,34442,10.032645003755725,33.3,52.5,16.16304689959081
01111,9.491998604117851,rural,1104.66,20.804418637586743,No Prison,5.9,37333,10.691799283763078,32.6,43,9.364675984752223
01113,58.807160048134776,small/mid,1292.93,45.56857906641991,No Prison,5.9,36124,11.330108529385592,29.5,44.3,11.862607940566356
01115,16.05375465359121,suburban,692.49,10.463489364716718,Has State,5.2,53558,11.526053793104273,25.5,39.2,6.7763832978135605
01117,28.70502456807735,suburban,402.82,13.245779689373649,No Prison,4.2,70879,11.640364916465629,27,43.1,6.713159668297829
01119,75.26939879342626,rural,525.61,72.78013867143815,No Prison,8,25931,9.716491414148804,44.6,49.2,14.200441207519226
01121,37.691326530612244,rural,1161.28,34.82157957043802,No Prison,6.6,37911,11.327979848370926,31,45.2,11.449667568741438
01123,28.00184664456289,rural,1117.05,28.697293895531782,No Prison,6.1,39051,10.592806154837001,31.7,51.5,10.300348953140578
01125,43.72844827586207,small/mid,727.06,31.459879816189467,No Prison,5.4,47868,10.721881001719398,32.5,49.9,8.875149581172716
01127,6.503759398496241,suburban,947.6,6.529009742620328,No Prison,7.2,37305,10.717598705846365,30.5,45.1,8.885931840023657
01129,53.41614906832298,rural,557.31,25.13468326212149,No Prison,8.9,42658,9.184801393117711,25.5,43.3,9.427457481489894
01131,72.292631407912907,rural,396.13,72.7112676056338,No Prison,14.6,23014,9.654954562275755,29.4,51.8,16.293614676362125
01133,3.411633109619687,rural,804.4,1.059123206864191,No Prison,7.5,36497,10.150003878479044,26.7,45.2,9.195522544199184
04001,0,rural,267.28,0.6940233137928711,Has State,13.3,31072,5.563492411181547,18,48.3,13.636363636363637
04005,0,small/mid,604.11,1.6714305986336635,No Prison,6.5,51955,5.726132938318496,32.6,44.8,10.278149979208058
04017,0,rural,933.45,1.200806648741139,Has State,9.7,37658,5.660012074403017,28.6,43,11.83258647453358
04019,0,small/mid,853.74,4.076273864629227,No Prison,5.5,47107,7.436587739837399,31.8,45.2,9.786126886519726
05001,55.642243328810494,rural,NA,25.21836893539739,No Prison,4.2,41179,10.350560986021335,27.9,46.9,10.405581175357693
05003,43.78346915017462,rural,NA,26.525858052492623,No Prison,7.5,39871,10.00822179854202,29.8,45,9.66538789428815
05007,4.126370083816893,small/mid,NA,1.9878090913577808,No Prison,3.8,60294,10.57890403150954,24.2,41.7,7.3215144643716075
05009,3.5169988276670576,rural,NA,0.5102938588773535,No Prison,4.9,40909,9.888863540451501,28.6,46.2,7.327990758789979
05011,32.06962327134001,rural,NA,29.908877131099352,No Prison,5.8,37331,9.988972812337098,34.9,49.7,9.515928837401738
05013,23.909334633195222,rural,NA,22.01426024955437,No Prison,5.4,40526,10.183010400335007,30.8,47.1,7.9844626672421235
05017,81.35152696556204,rural,NA,56.32507785851995,Has State,9.1,29968,9.857181080534058,31.6,52.5,14.390009606147935
05019,22.742681047765796,rural,NA,24.464911142820082,No Prison,5.4,37856,10.540064029934925,30.6,47.1,9.201077199281867
05021,3.4023079984082774,rural,NA,0.8435168162647345,No Prison,6.6,35324,9.82785458287967,31.9,47.3,6.390724012403936
05027,28.90995260663507,rural,NA,37.016331658291456,No Prison,6.5,38057,9.934989304901801,31.9,48.1,10.079150385732891
05031,2.8375733855185907,small/mid,NA,15.058587794572462,No Prison,4.4,42460,10.107615146356595,30.1,45.1,8.618928206557072
05033,10.929936305732484,small/mid,NA,1.6917055927281908,No Prison,5.2,46545,10.674295692881467,28.2,41.5,9.181808953405746
05035,47.703252032520325,suburban,NA,53.12192801648962,No Prison,6.1,37371,10.398414114583746,32.9,46.3,16.025120459098048
05039,42.182784015453336,rural,NA,44.39905396688884,No Prison,6.9,33352,10.325309604654025,26.5,50.3,9.263995453253765
05041,58.58492026629509,rural,NA,48.280586381696125,No Prison,7.3,30987,10.001086952251974,32,49.4,15.079365079365079
05043,38.52170081515752,rural,NA,29.21302356020942,No Prison,6.8,39339,9.90600604141821,42.3,49.6,10.67193675889328
05045,11.975511423025235,small/mid,NA,12.049161635680592,No Prison,4.6,51157,11.257475999111932,29.1,43.1,8.522050059594756
05047,13.181693614688955,rural,NA,1.1290759642308734,No Prison,4.9,41933,10.470449158034235,27.8,42.6,7.308921825050857
05049,2.1868787276341948,rural,NA,0.7441327990841442,No Prison,5.2,34717,9.815557164051702,29.4,48.6,6.029106029106029
05055,3.234639739859661,rural,NA,1.3528271974634491,No Prison,5.2,43996,9.905373184610648,28.4,46.6,7.728813559322035
05057,38.58746157695332,rural,NA,31.41821946169772,No Prison,4.9,34560,10.202518596150435,34.8,45.4,11.150798080142874
05059,10.87843833185448,rural,NA,12.285910025119891,Has State,5,39851,10.750512372391022,33.1,41.4,8.347217594135287
05063,9.345075837002865,rural,NA,2.472833062377,No Prison,6.4,38241,10.198753387974406,30.2,44.4,7.113685304819188
05065,5.294525294525294,rural,NA,3.076732979117756,Has State,6.6,35355,9.908505034009108,33.5,45.9,5.919117647058823
05067,24.158963118269323,rural,NA,18.82393876130828,Has State,7.5,32571,10.19781368862175,27.9,49.4,8.779228231243724
05069,47.73228241266448,small/mid,NA,57.68660195820794,Has State,7,36990,10.66762615702275,32.2,46.5,13.23187694321715
05071,12.782448765107723,rural,NA,1.9844381446408106,No Prison,5.7,35877,10.402144532049777,31.3,48,7.690547035934997
05075,5.271020059752455,rural,NA,0.7578664620107445,No Prison,6,34808,9.971910920064689,28.4,44,7.442318514350029
05085,32.06460356900836,small/mid,NA,6.129369361683977,No Prison,4.2,56240,11.087644850968157,26.5,39.5,8.955456338905616
05087,3.8242894056847545,small/mid,NA,0.5174512987012987,No Prison,3.8,41007,9.834457843945387,29.9,46.6,6.827750320336811
05089,4.215116279069767,rural,NA,0.7646559048428208,No Prison,5.2,34946,9.902909403781715,30,44.3,6.375442739079102
